architecture,seed,stage,task,iid_exact_accuracy,iid_well_formed_rate,magnitude_ood_exact_accuracy,magnitude_ood_well_formed_rate,token_length_ood_exact_accuracy,token_length_ood_well_formed_rate,overall_ood_exact_accuracy,overall_ood_well_formed_rate,ood_most_common_target_baseline,iid_evaluation_data,ood_evaluation_data
transformer,17,1,decimal_digit_sum,0.9998,1.0,0.507,0.999,0.0,0.342,0.1014,0.4734,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,2,decimal_digit_sum,0.9996,1.0,0.099,1.0,0.0,0.52925,0.0198,0.6234,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,2,greatest_common_divisor,0.9506,1.0,0.857,1.0,0.2345,0.4925,0.359,0.594,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,4,decimal_digit_sum,0.9996,1.0,0.253,1.0,0.0,0.76725,0.0506,0.8138,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,4,greatest_common_divisor,0.9468,1.0,0.915,1.0,0.434,0.904,0.5302,0.9232,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,4,multiplication,0.2528,1.0,0.0,1.0,0.0,0.0375,0.0,0.23,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,4,greater_than,0.9958,1.0,0.992,1.0,0.23175,0.52475,0.3838,0.6198,0.5,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,8,decimal_digit_sum,0.997,1.0,0.776,1.0,0.0,0.1155,0.1552,0.2924,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,8,greatest_common_divisor,0.8924,1.0,0.826,1.0,0.00075,0.376,0.1658,0.5008,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,8,multiplication,0.231,1.0,0.0,0.998,0.0,0.379,0.0,0.5028,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,8,greater_than,0.9944,1.0,0.976,1.0,0.0915,0.129,0.2684,0.3032,0.5,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,8,integer_list_sum,0.152,1.0,0.0,0.999,0.0,0.44225,0.0,0.5536,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,8,modulo,0.671,0.9994,0.018,1.0,0.0,0.02375,0.0036,0.219,0.0004,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,8,addition,0.8254,1.0,0.037,1.0,0.0,0.00025,0.0074,0.2002,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,8,successor,0.9964,1.0,0.864,0.981,0.0,0.53925,0.1728,0.6276,0.0004,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,17,16,decimal_digit_sum,0.8252,1.0,0.081,1.0,0.0,0.74625,0.0162,0.797,0.0426,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,17,16,greatest_common_divisor,0.8904,1.0,0.84,1.0,0.11875,0.39625,0.263,0.517,0.6228,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,17,16,multiplication,0.2148,1.0,0.0,1.0,0.0,0.42475,0.0,0.5398,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,17,16,greater_than,0.9854,1.0,0.97,1.0,0.30775,0.54175,0.4402,0.6334,0.5,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,17,16,integer_list_sum,0.1226,1.0,0.0,1.0,0.0,0.54525,0.0,0.6362,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,17,16,modulo,0.6474,1.0,0.0,1.0,0.0,0.40975,0.0,0.5278,0.0004,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,17,16,addition,0.3778,1.0,0.001,0.997,0.0,0.32225,0.0002,0.4572,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,17,16,successor,0.9936,1.0,0.663,1.0,0.0,0.35825,0.1326,0.4866,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,42,1,decimal_digit_sum,0.9994,1.0,0.562,1.0,0.0,0.40475,0.1124,0.5238,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,2,decimal_digit_sum,0.9998,1.0,0.069,1.0,0.0,0.99975,0.0138,0.9998,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,2,greatest_common_divisor,0.9506,1.0,0.867,1.0,0.221,0.49775,0.3502,0.5982,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,4,decimal_digit_sum,0.999,1.0,0.091,1.0,0.0,0.22875,0.0182,0.383,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,4,greatest_common_divisor,0.9436,1.0,0.799,1.0,0.34975,0.78425,0.4396,0.8274,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,4,multiplication,0.2594,1.0,0.0,1.0,0.0,0.31125,0.0,0.449,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,4,greater_than,0.9962,1.0,0.992,1.0,0.11625,0.4905,0.2914,0.5924,0.5,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,8,decimal_digit_sum,0.998,1.0,0.797,1.0,0.0,0.365,0.1594,0.492,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,8,greatest_common_divisor,0.893,1.0,0.836,1.0,0.01625,0.54675,0.1802,0.6374,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,8,multiplication,0.2294,1.0,0.0,1.0,0.0,0.80925,0.0,0.8474,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,8,greater_than,0.9908,1.0,0.99,1.0,0.1975,0.3075,0.356,0.446,0.5,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,8,integer_list_sum,0.2174,1.0,0.0,0.999,0.0,0.39875,0.0,0.5188,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,8,modulo,0.6688,1.0,0.0,1.0,0.0,0.103,0.0,0.2824,0.0004,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,8,addition,0.7432,1.0,0.001,1.0,0.0,0.163,0.0002,0.3304,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,8,successor,0.997,1.0,0.882,1.0,0.0,0.502,0.1764,0.6016,0.0004,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,42,16,decimal_digit_sum,0.8874,1.0,0.128,1.0,0.00025,0.672,0.0258,0.7376,0.0426,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,42,16,greatest_common_divisor,0.8882,1.0,0.835,1.0,0.065,0.27625,0.219,0.421,0.6228,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,42,16,multiplication,0.2128,1.0,0.0,1.0,0.0,0.6655,0.0,0.7324,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,42,16,greater_than,0.9906,1.0,0.966,1.0,0.2755,0.392,0.4136,0.5136,0.5,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,42,16,integer_list_sum,0.1192,1.0,0.0,1.0,0.0,0.5865,0.0,0.6692,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,42,16,modulo,0.6338,0.9998,0.001,0.998,0.0,0.35625,0.0002,0.4846,0.0004,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,42,16,addition,0.3122,1.0,0.001,0.995,0.0,0.64925,0.0002,0.7184,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,42,16,successor,0.9936,1.0,0.581,1.0,0.0,0.22975,0.1162,0.3838,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,314159,1,decimal_digit_sum,0.9998,1.0,0.61,1.0,0.0,0.271,0.122,0.4168,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,2,decimal_digit_sum,1.0,1.0,0.138,1.0,0.0,0.2175,0.0276,0.374,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,2,greatest_common_divisor,0.9508,1.0,0.872,1.0,0.25375,0.4965,0.3774,0.5972,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,4,decimal_digit_sum,0.9998,1.0,0.582,1.0,0.00025,0.0815,0.1166,0.2652,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,4,greatest_common_divisor,0.9314,1.0,0.841,1.0,0.054,0.11425,0.2114,0.2914,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,4,multiplication,0.268,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,4,greater_than,0.9954,1.0,0.993,1.0,0.0,0.0,0.1986,0.2,0.5,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,8,decimal_digit_sum,0.9982,1.0,0.729,1.0,0.0,0.647,0.1458,0.7176,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,8,greatest_common_divisor,0.891,1.0,0.837,1.0,0.02425,0.09525,0.1868,0.2762,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,8,multiplication,0.233,1.0,0.0,0.999,0.0,0.0905,0.0,0.2722,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,8,greater_than,0.996,1.0,0.99,1.0,0.05475,0.15225,0.2418,0.3218,0.5,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,8,integer_list_sum,0.1678,1.0,0.0,0.929,0.0,0.501,0.0,0.5866,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,8,modulo,0.6958,0.9988,0.039,0.987,0.0,0.05475,0.0078,0.2412,0.0004,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,8,addition,0.8754,1.0,0.066,1.0,0.0,0.19675,0.0132,0.3574,0.0002,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,8,successor,0.998,1.0,0.958,0.999,0.0,0.26725,0.1916,0.4136,0.0004,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
transformer,314159,16,decimal_digit_sum,0.8984,1.0,0.177,1.0,0.0,0.40175,0.0354,0.5214,0.0426,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,314159,16,greatest_common_divisor,0.8898,1.0,0.841,1.0,0.21175,0.426,0.3376,0.5408,0.6228,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,314159,16,multiplication,0.2126,1.0,0.0,1.0,0.0,0.648,0.0,0.7184,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,314159,16,greater_than,0.991,1.0,0.938,1.0,0.529,0.72975,0.6108,0.7838,0.5,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,314159,16,integer_list_sum,0.1326,1.0,0.0,0.991,0.0,0.49375,0.0,0.5932,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,314159,16,modulo,0.6604,0.9994,0.011,0.989,0.0,0.341,0.0022,0.4706,0.0004,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,314159,16,addition,0.408,0.9998,0.0,0.991,0.0,0.295,0.0,0.4342,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
transformer,314159,16,successor,0.9952,1.0,0.888,1.0,0.0,0.35125,0.1776,0.481,0.0002,evaluation_data_sha256:3ceb5e0d578a102623cd15cb65958b678e3af13f8d44304c9d316f07818a5ab8,evaluation_data_sha256:402eab4e9e30fd6f84676378af9c0f9ad8f103d83c7ce2ad1a6d443e8fd6fc08
mlp,17,1,decimal_digit_sum,1.0,1.0,0.925,1.0,0.00025,0.45775,0.1852,0.5662,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,2,decimal_digit_sum,0.9996,1.0,0.963,1.0,0.0,0.484,0.1926,0.5872,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,2,greatest_common_divisor,0.9288,1.0,0.838,1.0,0.00125,0.00175,0.1686,0.2014,0.6104,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
mlp,17,4,decimal_digit_sum,0.9984,1.0,0.161,0.998,0.00125,0.154,0.0332,0.3228,0.0404,evaluation_manifest_sha256:0c1115a23fda2ba5b66f29e52f4cb052502073a49d5c4fe2e3e1344259d08f5d,evaluation_manifest_sha256:7d088f777ffc34ab09d41534d4d9b20fe0d4f19ccd2696cb7b563d000374e739
